epoch,model,train_mse
0,physical,0.021611885109753544
0,raw_coordinate,0.03284519554057638
1,physical,0.019700759460169966
1,raw_coordinate,0.021058007808126326
2,physical,0.01841500377482108
2,raw_coordinate,0.024041997692541443
3,physical,0.017414540209450546
3,raw_coordinate,0.020625419473309065
4,physical,0.016516475869279144
4,raw_coordinate,0.017971816872452747
5,physical,0.015659537568677957
5,raw_coordinate,0.018016705164286634
6,physical,0.014819291399340219
6,raw_coordinate,0.01848812069555606
7,physical,0.013981539799386251
7,raw_coordinate,0.01788032668796296
8,physical,0.013139609041076257
8,raw_coordinate,0.016534586078169065
9,physical,0.012299670085665508
9,raw_coordinate,0.015195450569023316
10,physical,0.01148638760362066
10,raw_coordinate,0.014304077031010129
11,physical,0.010736210468289974
11,raw_coordinate,0.013860829479134898
12,physical,0.01006944670610052
12,raw_coordinate,0.013495550493595946
13,physical,0.009471880038321005
13,raw_coordinate,0.01286781131663339
14,physical,0.008912358070484667
14,raw_coordinate,0.012045277723727967
15,physical,0.008369711157569673
15,raw_coordinate,0.011313337935208034
16,physical,0.007840590492534882
16,raw_coordinate,0.01075997436406717
17,physical,0.007334791952642601
17,raw_coordinate,0.010226842572756344
18,physical,0.006868287049772676
18,raw_coordinate,0.009635990277607538
19,physical,0.006456655043602008
19,raw_coordinate,0.0090920743448736
20,physical,0.0061080277018943935
20,raw_coordinate,0.008621384393593282
21,physical,0.005817169548918863
21,raw_coordinate,0.008098193376983044
22,physical,0.005566579283205102
22,raw_coordinate,0.007497352623261167
23,physical,0.0053375143454713085
23,raw_coordinate,0.006943460765004225
24,physical,0.005122295326706746
24,raw_coordinate,0.006521939986034333
25,physical,0.004925648859453101
25,raw_coordinate,0.006162550788565855
26,physical,0.004755952289897837
26,raw_coordinate,0.005733526515751629
27,physical,0.004616368607911377
27,raw_coordinate,0.005243140499280211
28,physical,0.004503148800514195
28,raw_coordinate,0.004841698921573306
29,physical,0.004409216779133318
29,raw_coordinate,0.004552029619126165
30,physical,0.004327883357199329
30,raw_coordinate,0.004202573521375475
31,physical,0.0042545091603176525
31,raw_coordinate,0.003771595342122246
32,physical,0.004186299376356053
32,raw_coordinate,0.0034234012173684374
33,physical,0.004121558215906911
33,raw_coordinate,0.003186386523968165
34,physical,0.004059057011578499
34,raw_coordinate,0.0029124870572355918
35,physical,0.003997703591534456
35,raw_coordinate,0.002572698782546645
36,physical,0.003936421602340761
36,raw_coordinate,0.0022864416733512
37,physical,0.0038744830649619635
37,raw_coordinate,0.0020888314264896003
38,physical,0.003811485449130797
38,raw_coordinate,0.0018947003621686918
39,physical,0.0037474736052070193
39,raw_coordinate,0.0016587263397518767
