strategy,observed_count,observed_fraction,repeat,rank,beta,sigma_min,sigma_min_nonzero,condition_number,noise_amplification,noiseless_relative_error,noisy_ls_relative_error,noisy_ridge_relative_error
tree_first,0,0.0,0,0,10,0.0,0.0,inf,inf,1.0,1.0,1.0
chord_first,0,0.0,0,0,10,0.0,0.0,inf,inf,1.0,1.0,1.0
rank_greedy,0,0.0,0,0,10,0.0,0.0,inf,inf,1.0,1.0,1.0
random,0,0.0,0,0,10,0.0,0.0,inf,inf,1.0,1.0,1.0
tree_first,0,0.0,1,0,10,0.0,0.0,inf,inf,1.0,1.0,1.0
chord_first,0,0.0,1,0,10,0.0,0.0,inf,inf,1.0,1.0,1.0
rank_greedy,0,0.0,1,0,10,0.0,0.0,inf,inf,1.0,1.0,1.0
random,0,0.0,1,0,10,0.0,0.0,inf,inf,1.0,1.0,1.0
tree_first,0,0.0,2,0,10,0.0,0.0,inf,inf,1.0,1.0,1.0
chord_first,0,0.0,2,0,10,0.0,0.0,inf,inf,1.0,1.0,1.0
rank_greedy,0,0.0,2,0,10,0.0,0.0,inf,inf,1.0,1.0,1.0
random,0,0.0,2,0,10,0.0,0.0,inf,inf,1.0,1.0,1.0
tree_first,0,0.0,3,0,10,0.0,0.0,inf,inf,1.0,1.0,1.0
chord_first,0,0.0,3,0,10,0.0,0.0,inf,inf,1.0,1.0,1.0
rank_greedy,0,0.0,3,0,10,0.0,0.0,inf,inf,1.0,1.0,1.0
random,0,0.0,3,0,10,0.0,0.0,inf,inf,1.0,1.0,1.0
tree_first,0,0.0,4,0,10,0.0,0.0,inf,inf,1.0,1.0,1.0
chord_first,0,0.0,4,0,10,0.0,0.0,inf,inf,1.0,1.0,1.0
rank_greedy,0,0.0,4,0,10,0.0,0.0,inf,inf,1.0,1.0,1.0
random,0,0.0,4,0,10,0.0,0.0,inf,inf,1.0,1.0,1.0
tree_first,0,0.0,5,0,10,0.0,0.0,inf,inf,1.0,1.0,1.0
chord_first,0,0.0,5,0,10,0.0,0.0,inf,inf,1.0,1.0,1.0
rank_greedy,0,0.0,5,0,10,0.0,0.0,inf,inf,1.0,1.0,1.0
random,0,0.0,5,0,10,0.0,0.0,inf,inf,1.0,1.0,1.0
tree_first,0,0.0,6,0,10,0.0,0.0,inf,inf,1.0,1.0,1.0
chord_first,0,0.0,6,0,10,0.0,0.0,inf,inf,1.0,1.0,1.0
rank_greedy,0,0.0,6,0,10,0.0,0.0,inf,inf,1.0,1.0,1.0
random,0,0.0,6,0,10,0.0,0.0,inf,inf,1.0,1.0,1.0
tree_first,0,0.0,7,0,10,0.0,0.0,inf,inf,1.0,1.0,1.0
chord_first,0,0.0,7,0,10,0.0,0.0,inf,inf,1.0,1.0,1.0
rank_greedy,0,0.0,7,0,10,0.0,0.0,inf,inf,1.0,1.0,1.0
random,0,0.0,7,0,10,0.0,0.0,inf,inf,1.0,1.0,1.0
tree_first,1,0.04,0,1,10,0.0,0.7365008122800619,inf,inf,0.993553830141164,0.99389389817955,0.9938311126121172
chord_first,1,0.04,0,1,10,0.0,0.7097113241921611,inf,inf,0.9927293148459295,0.9943826840973868,0.9941892946015863
rank_greedy,1,0.04,0,1,10,0.0,0.7365008122800619,inf,inf,0.993553830141164,0.9953792736513504,0.9954379290961285
random,1,0.04,0,1,10,0.0,0.7172718525115142,inf,inf,0.9458854995943944,0.9460302108367014,0.9459388222309567
tree_first,1,0.04,1,1,10,0.0,0.7365008122800619,inf,inf,0.993553830141164,0.9935572631171153,0.9935539623341831
chord_first,1,0.04,1,1,10,0.0,0.7097113241921611,inf,inf,0.9927293148459295,0.9933660748619146,0.9932620376979732
rank_greedy,1,0.04,1,1,10,0.0,0.7365008122800619,inf,inf,0.993553830141164,0.9936091553253199,0.9936305517660142
random,1,0.04,1,1,10,0.0,0.7365008122800619,inf,inf,0.993553830141164,0.9938261716484085,0.9938656872495594
tree_first,1,0.04,2,1,10,0.0,0.7365008122800619,inf,inf,0.993553830141164,0.9954283566296221,0.9952396715674423
chord_first,1,0.04,2,1,10,0.0,0.7097113241921611,inf,inf,0.9927293148459295,0.992805141414062,0.9927765867576765
rank_greedy,1,0.04,2,1,10,0.0,0.7365008122800619,inf,inf,0.993553830141164,0.9937687829356238,0.9938050957048439
random,1,0.04,2,1,10,0.0,0.7172718525115142,inf,inf,0.9458854995943944,0.946997117422622,0.9466813354052156
tree_first,1,0.04,3,1,10,0.0,0.7365008122800619,inf,inf,0.993553830141164,0.9940752882618908,0.9941239565871864
chord_first,1,0.04,3,1,10,0.0,0.7097113241921611,inf,inf,0.9927293148459295,0.9930521678850515,0.9929839018408217
rank_greedy,1,0.04,3,1,10,0.0,0.7365008122800619,inf,inf,0.993553830141164,0.994389081432675,0.9944438113446693
random,1,0.04,3,1,10,0.0,0.6304378888254494,inf,inf,0.9782973009558747,0.9783244336711424,0.9782993904342482
tree_first,1,0.04,4,1,10,0.0,0.7365008122800619,inf,inf,0.993553830141164,0.9936397554444061,0.9936652889011022
chord_first,1,0.04,4,1,10,0.0,0.7097113241921611,inf,inf,0.9927293148459295,0.9934735984814428,0.993358750470009
rank_greedy,1,0.04,4,1,10,0.0,0.7365008122800619,inf,inf,0.993553830141164,0.9936027117143842,0.9936230629279185
